expiration, strike, type, price, volume
2022-10-21,  3590, call,  52.90, 341
2022-10-21,  3600, call,  49.00, 1944
2022-10-21,  3605, call,  45.52, 363
2022-10-21,  3620, call,  37.57, 302
2022-10-21,  3625, call,  37.00, 495
2022-10-21,  3635, call,  32.80, 440
2022-10-21,  3650, call,  27.60, 2970
2022-10-21,  3655, call,  25.20, 266
2022-10-21,  3675, call,  19.51, 548
2022-10-21,  3700, call,  13.69, 7907
2022-10-21,  3750, call,  6.20, 2467
2022-10-21,  3775, call,  4.80, 809
2022-10-21,  3790, call,  4.22, 654
2022-10-21,  3800, call,  2.50, 6559
2022-10-21,  3825, call,  1.55, 1389
2022-10-21,  3850, call,  1.15, 1879
2022-10-21,  3875, call,  0.80, 345
2022-10-21,  3895, call,  0.80, 275
2022-10-21,  3900, call,  0.55, 5030
2022-10-21,  4000, call,  0.25, 1832
2022-10-21,  4060, call,  0.25, 252
2022-10-21,  4170, call,  0.20, 250
2022-10-21,  4210, call,  0.10, 501
2022-10-21,  4240, call,  0.10, 500
2022-10-21,  4350, call,  0.05, 678
2022-10-21,  2500,  put,  0.20, 1211
2022-10-21,  2600,  put,  0.25, 3420
2022-10-21,  2850,  put,  0.50, 683
2022-10-21,  2900,  put,  0.60, 1586
2022-10-21,  2950,  put,  0.70, 4445
2022-10-21,  2975,  put,  0.75, 1868
2022-10-21,  3000,  put,  0.75, 623
2022-10-21,  3025,  put,  0.90, 1000
2022-10-21,  3100,  put,  1.05, 7151
2022-10-21,  3120,  put,  1.30, 4356
2022-10-21,  3150,  put,  1.30, 5272
2022-10-21,  3200,  put,  1.61, 2401
2022-10-21,  3215,  put,  2.02, 300
2022-10-21,  3225,  put,  1.85, 251
2022-10-21,  3230,  put,  1.90, 309
2022-10-21,  3250,  put,  2.25, 1120
2022-10-21,  3270,  put,  2.67, 1504
2022-10-21,  3300,  put,  3.10, 3675
2022-10-21,  3325,  put,  3.60, 563
2022-10-21,  3350,  put,  4.60, 3020
2022-10-21,  3375,  put,  5.91, 317
2022-10-21,  3390,  put,  5.81, 436
2022-10-21,  3400,  put,  7.50, 5375
2022-10-21,  3410,  put,  7.90, 532
2022-10-21,  3425,  put,  9.35, 3117
2022-10-21,  3430,  put,  8.95, 314
2022-10-21,  3450,  put,  12.30, 3987
2022-10-21,  3500,  put,  21.50, 7052
2022-10-21,  3525,  put,  26.00, 694
2022-10-21,  3540,  put,  33.20, 250
2022-10-21,  3550,  put,  38.70, 7039
2022-10-21,  3575,  put,  43.73, 360
2022-10-21,  3585,  put,  51.19, 261
2022-10-21,  3590,  put,  53.95, 608
2022-10-21,  3595,  put,  53.50, 408
2022-10-21,  3600,  put,  58.28, 7023
2022-10-21,  3605,  put,  57.80, 421
2022-10-21,  3610,  put,  62.03, 362
2022-10-21,  3615,  put,  63.10, 254
2022-10-21,  3625,  put,  74.48, 856
2022-10-21,  3650,  put,  89.72, 3056
2022-10-21,  3675,  put,  98.00, 1217
2022-10-21,  3690,  put,  118.20, 365
2022-10-21,  3700,  put,  123.20, 5813
2022-10-21,  3750,  put,  164.10, 1603
2022-10-21,  3900,  put,  308.60, 1335
2022-10-21,  4000,  put,  410.70, 310
2022-11-18,  3590, call,  130.00, 274
2022-11-18,  3600, call,  124.14, 256
2022-11-18,  3625, call,  111.30, 520
2022-11-18,  3675, call,  91.07, 1069
2022-11-18,  3680, call,  85.15, 513
2022-11-18,  3700, call,  77.61, 2862
